Flow_ID,Source,Destination,Protocol,Port,Authentication,Encryption,Data_Classification,Description,Trust_Boundary_Crossing,NIST_800-171_Controls,CMMC_Practices
F-15,A-6 (Gitea),A-7 (n8n),HTTP POST,5678,HMAC-SHA256,Internal Network,CUI,Webhook event triggers,No (App → App),3.1.1,AC.L2-3.1.1
F-16,A-7 (n8n),A-8 (SonarQube),HTTP,9000,API Token,Internal Network,SPA,Trigger SAST analysis,No (App → App),3.1.1,AC.L2-3.1.1
F-17,A-9 (Prometheus),A-6 (Gitea),HTTP,9090,Service Discovery,Internal Network,SPA,Scrape Gitea metrics,No (Monitoring → App),3.3.1,AU.L2-3.3.1
F-18,A-9 (Prometheus),A-7 (n8n),HTTP,5678,Service Discovery,Internal Network,SPA,Scrape n8n metrics,No (Monitoring → App),3.3.1,AU.L2-3.3.1
F-19,A-9 (Prometheus),A-8 (SonarQube),HTTP,9000,Service Discovery,Internal Network,SPA,Scrape SonarQube metrics,No (Monitoring → App),3.3.1,AU.L2-3.3.1
F-20,A-10 (Grafana),A-9 (Prometheus),HTTP,9090,Token Auth,Internal Network,SPA,Query metrics with PromQL,No (Monitoring → Monitoring),3.1.1,AC.L2-3.1.1
F-21,A-7 (n8n),A-11 (Trivy),Docker Socket,N/A,None (Process Isolation),Unix Domain Socket,CUI,Spawn Trivy scanner container,No (App → Scan),3.14.1,SI.L2-3.14.1
F-22,A-7 (n8n),A-12 (Grype),Docker Socket,N/A,None (Process Isolation),Unix Domain Socket,CUI,Spawn Grype scanner container,No (App → Scan),3.14.1,SI.L2-3.14.1
F-23,A-7 (n8n),A-13 (Semgrep),Docker Socket,N/A,None (Process Isolation),Unix Domain Socket,CUI,Spawn Semgrep scanner container,No (App → Scan),3.14.1,SI.L2-3.14.1
F-24,A-7 (n8n),A-14 (Checkov),Docker Exec,N/A,None (Volume Mount),Docker Volume,CUI,Mount IaC files for Checkov scan,No (App → Scan),3.14.1,SI.L2-3.14.1
F-25,A-7 (n8n),A-15 (tfsec),Docker Exec,N/A,None (Volume Mount),Docker Volume,CUI,Mount IaC files for tfsec scan,No (App → Scan),3.14.1,SI.L2-3.14.1
F-26,A-7 (n8n),A-16 (Terrascan),Docker Exec,N/A,None (Volume Mount),Docker Volume,CUI,Mount IaC files for Terrascan scan,No (App → Scan),3.14.1,SI.L2-3.14.1
F-27,A-7 (n8n),A-17 (Infracost),Docker Exec,N/A,None (Volume Mount),Docker Volume,CUI,Mount IaC files for cost analysis,No (App → Scan),3.4.1,CM.L2-3.4.1
F-28,A-11 (Trivy),A-2 (GCP Public APIs),HTTPS,443,Anonymous,TLS 1.3,External,Update Trivy CVE database,Yes (Scan → Internet),3.13.8,SC.L2-3.13.8
F-29,A-12 (Grype),A-2 (GCP Public APIs),HTTPS,443,Anonymous,TLS 1.3,External,Update Grype vulnerability database,Yes (Scan → Internet),3.13.8,SC.L2-3.13.8
F-30,A-7 (n8n),S-5 (GCS Evidence),HTTPS,443,Service Account OAuth2,TLS 1.3 + AES-256-GCM,CUI,Upload security scan evidence,Yes (App → GCP Cloud),"3.13.8, 3.13.11, 3.8.1","SC.L2-3.13.8, SC.L2-3.13.11, MP.L2-3.8.1"
F-31,A-7 (n8n),A-18 (Security Command Center),HTTPS,443,Service Account OAuth2,TLS 1.3,SPA,Query security findings from SCC,Yes (App → GCP Cloud),3.13.8,SC.L2-3.13.8
F-32,A-7 (n8n),A-19 (Cloud Asset Inventory),HTTPS,443,Service Account OAuth2,TLS 1.3,SPA,Discover GCP infrastructure assets,Yes (App → GCP Cloud),3.13.8,SC.L2-3.13.8
F-33,A-7 (n8n),A-20 (Cloud Logging),HTTPS,443,Service Account OAuth2,TLS 1.3,CUI,Write audit logs to Cloud Logging,Yes (App → GCP Cloud),"3.3.1, 3.3.8","AU.L2-3.3.1, AU.L2-3.3.8"
F-34,A-7 (n8n),A-21 (Google Chat),HTTPS,443,Webhook Secret,TLS 1.3,SPA,Send security alert notifications,Yes (App → GCP Cloud),N/A,N/A
F-35,A-18 (Security Command Center),A-7 (n8n),HTTPS,443,JWT Authentication,TLS 1.3,CUI,Push security findings via Pub/Sub,Yes (GCP Cloud → App),"3.13.8, 3.14.1","SC.L2-3.13.8, SI.L2-3.14.1"
F-36,A-11 (Trivy),A-7 (n8n),JSON Response,N/A,None (In-Memory),None (Process Memory),CUI,Return CVE scan results,No (Scan → App),3.14.1,SI.L2-3.14.1
F-37,A-12 (Grype),A-7 (n8n),JSON Response,N/A,None (In-Memory),None (Process Memory),CUI,Return SBOM and CVE results,No (Scan → App),3.14.1,SI.L2-3.14.1
F-38,A-13 (Semgrep),A-7 (n8n),JSON Response,N/A,None (In-Memory),None (Process Memory),CUI,Return SAST findings,No (Scan → App),3.14.1,SI.L2-3.14.1
F-39,A-8 (SonarQube),A-7 (n8n),HTTP,9000,API Token,Internal Network,CUI,Return code quality analysis results,No (App → App),3.14.1,SI.L2-3.14.1
F-40,A-1 (End Users),A-6 (Gitea),SSH,22,Public Key PKI,SSH Encryption,CUI,Terraform/IaC file commit,Yes (Internet → DMZ → App),"3.1.12, 3.13.8","AC.L2-3.1.12, SC.L2-3.13.8"
F-41,A-6 (Gitea),A-7 (n8n),HTTP POST,5678,HMAC-SHA256,Internal Network,CUI,IaC change webhook trigger,No (App → App),3.1.1,AC.L2-3.1.1
F-42,A-14 (Checkov),A-7 (n8n),JSON Response,N/A,None (In-Memory),None (Process Memory),CUI,Return IaC policy violation findings,No (Scan → App),3.14.1,SI.L2-3.14.1
F-43,A-15 (tfsec),A-7 (n8n),JSON Response,N/A,None (In-Memory),None (Process Memory),CUI,Return Terraform security findings,No (Scan → App),3.14.1,SI.L2-3.14.1
F-44,A-16 (Terrascan),A-7 (n8n),JSON Response,N/A,None (In-Memory),None (Process Memory),CUI,Return IaC compliance gap findings,No (Scan → App),3.14.1,SI.L2-3.14.1
F-45,A-17 (Infracost),A-7 (n8n),JSON Response,N/A,None (In-Memory),None (Process Memory),SPA,Return cloud cost breakdown,No (Scan → App),3.4.1,CM.L2-3.4.1
F-46,A-7 (n8n),A-7 (n8n),In-Process,N/A,N/A,N/A,CUI,Generate SHA-256 hash of evidence,No (Internal Process),3.13.11,SC.L2-3.13.11
F-47,A-7 (n8n),A-7 (n8n),In-Process,N/A,N/A,N/A,CUI,Map findings to NIST 800-171 controls,No (Internal Process),3.12.1,CA.L2-3.12.1
F-48,A-7 (n8n),S-5 (GCS Evidence),HTTPS,443,Service Account OAuth2,TLS 1.3 + AES-256-GCM,CUI,Upload compliance control mapping manifest,Yes (App → GCP Cloud),"3.13.8, 3.13.11, 3.3.9","SC.L2-3.13.8, SC.L2-3.13.11, AU.L2-3.3.9"
F-49,A-6 (Gitea),A-20 (Cloud Logging),HTTPS,443,Service Account OAuth2,TLS 1.3,CUI,Write repository access audit logs,Yes (App → GCP Cloud),"3.3.1, 3.3.8","AU.L2-3.3.1, AU.L2-3.3.8"
F-50,A-1 (Administrator),A-10 (Grafana),HTTPS,443,OAuth2 + MFA,TLS 1.3,SPA,View monitoring dashboards,Yes (Internet → DMZ → App),"3.5.3, 3.13.8","IA.L2-3.5.3, SC.L2-3.13.8"
F-51,A-1 (Administrator),A-6 (Gitea),SSH,22,Certificate Auth + MFA,SSH Encryption,CUI,Admin console access via VPN,Yes (Internet → DMZ → App),"3.1.1, 3.5.3","AC.L2-3.1.1, IA.L2-3.5.3"
F-52,A-1 (Administrator),A-7 (n8n),SSH,22,Certificate Auth + MFA,SSH Encryption,SPA,Admin console access via VPN,Yes (Internet → DMZ → App),"3.1.1, 3.5.3","AC.L2-3.1.1, IA.L2-3.5.3"
