Asset_ID,Asset_Name,Asset_Type,CMMC_Category,Trust_Zone,IP_Address,Network,Encryption_at_Rest,Encryption_in_Transit,Authentication_Method,Primary_Data_Classification,NIST_800-171_Controls,CMMC_Practices,Notes
A-11,Trivy Scanner,Security Tool,SPC,Z-5: Security Scanning,Dynamic,scan-tier,N/A,TLS 1.3 (DB Pull),None (Ephemeral),SPC,"3.14.1, 3.14.2, 3.11.2","SI.L2-3.14.1, RA.L2-3.11.2",Container image CVE scanner
A-12,Grype Scanner,Security Tool,SPC,Z-5: Security Scanning,Dynamic,scan-tier,N/A,TLS 1.3 (DB Pull),None (Ephemeral),SPC,"3.14.1, 3.14.2, 3.11.2","SI.L2-3.14.1, RA.L2-3.11.2",SBOM and vulnerability analysis
A-13,Semgrep,Security Tool,SPC,Z-5: Security Scanning,Dynamic,scan-tier,N/A,N/A,None (Ephemeral),SPC,"3.14.1, 3.14.2","SI.L2-3.14.1, SI.L2-3.14.2",SAST rules engine
A-14,Checkov,Security Tool,SPC,Z-5: Security Scanning,Dynamic,scan-tier,N/A,N/A,None (Ephemeral),SPC,"3.4.2, 3.14.1","CM.L2-3.4.2, SI.L2-3.14.1",IaC security scanning
A-15,tfsec,Security Tool,SPC,Z-5: Security Scanning,Dynamic,scan-tier,N/A,N/A,None (Ephemeral),SPC,"3.4.2, 3.14.1","CM.L2-3.4.2, SI.L2-3.14.1",Terraform security scanner
A-16,Terrascan,Security Tool,SPC,Z-5: Security Scanning,Dynamic,scan-tier,N/A,N/A,None (Ephemeral),SPC,"3.4.2, 3.11.3","CM.L2-3.4.2, RA.L2-3.11.3",IaC compliance scanner
A-17,Infracost,Security Tool,SPC,Z-5: Security Scanning,Dynamic,scan-tier,N/A,TLS 1.3 (API),API Key,SPC,3.4.1,CM.L2-3.4.1,Cloud cost analysis
A-18,Security Command Center,External Service,External,Z-6: GCP Cloud,N/A,GCP,CMEK AES-256-GCM,TLS 1.3,Service Account OAuth2,External,"3.11.2, 3.14.1","RA.L2-3.11.2, SI.L2-3.14.1",GCP vulnerability aggregation
A-19,Cloud Asset Inventory,External Service,External,Z-6: GCP Cloud,N/A,GCP,CMEK AES-256-GCM,TLS 1.3,Service Account OAuth2,External,3.4.1,CM.L2-3.4.1,GCP infrastructure discovery
A-20,Cloud Logging,External Service,External,Z-6: GCP Cloud,N/A,GCP,CMEK AES-256-GCM,TLS 1.3,Service Account OAuth2,External,"3.3.1, 3.3.8","AU.L2-3.3.1, AU.L2-3.3.8",Centralized audit logging
A-21,Google Chat,External Service,External,Z-6: GCP Cloud,N/A,GCP,TLS 1.3,TLS 1.3,Webhook Secret,External,N/A,N/A,Notification webhooks
S-1,Gitea PostgreSQL,Database,CUI,Z-4: Data Tier,10.10.3.10,data-tier,AES-256-GCM (LUKS),TLS + Certificate,Password + Certificate,CUI,"3.13.11, 3.13.16","SC.L2-3.13.11, SC.L2-3.13.16",Encrypted database for source code metadata
S-2,SonarQube PostgreSQL,Database,SPA,Z-4: Data Tier,10.10.3.20,data-tier,AES-256-GCM (LUKS),TLS + Certificate,Password + Certificate,CUI,"3.13.11, 3.13.16","SC.L2-3.13.11, SC.L2-3.13.16",SAST results and code quality data
S-3,n8n PostgreSQL,Database,SPA,Z-4: Data Tier,10.10.3.30,data-tier,AES-256-GCM (LUKS),TLS + Certificate,Password + Certificate,SPA,"3.13.11, 3.13.16","SC.L2-3.13.11, SC.L2-3.13.16",Workflow state and execution logs
S-4,Prometheus TSDB,Database,SPA,Z-4: Data Tier,10.10.3.40,data-tier,AES-256-GCM (LUKS),Unix Socket,Process Isolation,SPA,3.13.16,SC.L2-3.13.16,Time-series metrics database
S-5,GCS Evidence Bucket,Cloud Storage,CRMA,Z-6: GCP Cloud,N/A,GCP,CMEK AES-256-GCM,TLS 1.3,Service Account OAuth2,CUI,"3.3.9, 3.8.1, 3.13.11, 3.13.16","AU.L2-3.3.9, MP.L2-3.8.1, SC.L2-3.13.11",Immutable evidence storage with 7-year retention
