Control_ID,Control_Name,Tool_Implementing,Evidence_Type,Evidence_Artifact,Collection_Method,Collection_Frequency,Storage_Location,Retention_Period,Hash_Verification,Responsible_Party,Automation_Level,Notes
AU.L2-3.3.1,Create and retain audit records,Cloud Logging,Audit Logs,Daily log export (JSON compressed),gcloud logging read with date filter,Daily,gs://compliance-evidence-store/audit-logs/daily-exports/,3 years,SHA-256,Security Logging,AUTOMATED,All audit event types included
AU.L2-3.3.1,Create and retain audit records,Loki,Application Logs,Application log archive (compressed),Loki API export,Daily,gs://compliance-evidence-store/audit-logs/application-logs/,1 year,SHA-256,Platform Engineering,AUTOMATED,Gitea and n8n application logs
AU.L2-3.3.2,Ensure traceability to users,Cloud IAM,Audit Logs,User action attribution matrix (CSV),BigQuery query on audit logs,Weekly,gs://compliance-evidence-store/audit-accountability/au-3.3.2/,3 years,SHA-256,Compliance Team,AUTOMATED,Maps actions to user identities (no generic accounts)
AU.L2-3.3.4,Alert on audit failure,AlertManager,Alert History,Logging failure alert history (JSON),AlertManager API export,Real-time + Monthly summary,gs://compliance-evidence-store/audit-accountability/au-3.3.4/,1 year,SHA-256,Security Operations,AUTOMATED,Alert firing timestamps and notification delivery
AU.L2-3.3.4,Alert on audit failure,n8n,Workflow Logs,Remediation playbook execution logs,n8n workflow history API,Real-time,gs://compliance-evidence-store/audit-accountability/au-3.3.4/remediation/,1 year,SHA-256,Security Automation,AUTOMATED,Automated logging service restart actions
AU.L2-3.3.8,Protect audit information,Cloud Logging,Configuration,Retention policy configuration (JSON),gcloud logging buckets describe,Weekly,gs://compliance-evidence-store/audit-accountability/au-3.3.8/,7 years,SHA-256,Compliance Team,AUTOMATED,Locked retention policy (immutable)
CM.L2-3.4.1,Baseline configurations,Terraform,Configuration,Terraform state export (JSON),terraform state pull,Weekly,gs://compliance-evidence-store/configuration-mgmt/cm-3.4.1/terraform-state/,7 years,SHA-256,Platform Engineering,AUTOMATED,"Infrastructure baseline definitions, encrypted at rest"
CM.L2-3.4.1,Baseline configurations,Packer,Build Artifacts,Packer image manifests (JSON),Packer build output,On image build,gs://compliance-evidence-store/configuration-mgmt/cm-3.4.1/packer-builds/,Indefinite,SHA-256,Platform Engineering,AUTOMATED,Golden image build logs and checksums
CM.L2-3.4.1,Baseline configurations,CIS-CAT,Scan Reports,CIS benchmark assessment reports (HTML + CSV),CIS-CAT Assessor CLI,Weekly,gs://compliance-evidence-store/configuration-mgmt/cm-3.4.1/cis-scans/,1 year,SHA-256,Security Compliance,AUTOMATED,Compliance percentage by benchmark section
CM.L2-3.4.2,Security configuration settings,Checkov,Scan Reports,IaC security scan results (JSON),Checkov CI/CD integration,Every PR + Daily,gs://compliance-evidence-store/configuration-mgmt/cm-3.4.2/checkov/,1 year,SHA-256,DevOps Engineering,AUTOMATED,Policy violations with severity and remediation
CM.L2-3.4.2,Security configuration settings,tfsec,Scan Reports,Terraform security findings (JSON),tfsec CI/CD integration,Every PR,gs://compliance-evidence-store/configuration-mgmt/cm-3.4.2/tfsec/,1 year,SHA-256,DevOps Engineering,AUTOMATED,Security issues in Terraform code
CM.L2-3.4.3,Track and approve changes,Gitea,Version Control,Pull request metadata (JSON),Gitea API export,Real-time (per PR),gs://compliance-evidence-store/configuration-mgmt/cm-3.4.3/pull-requests/,7 years,SHA-256,DevOps Engineering,AUTOMATED,Approver identities and timestamps
CM.L2-3.4.3,Track and approve changes,Atlantis,Audit Logs,Terraform plan/apply audit trail,Atlantis logs to GCS,Real-time,gs://compliance-evidence-store/configuration-mgmt/cm-3.4.3/atlantis-audit/,7 years,SHA-256,Platform Engineering,AUTOMATED,What changed + who approved + when
IA.L2-3.5.3,Multifactor authentication,Gitea + Cloud IAM,Configuration,MFA enrollment status (CSV),Gitea API + gcloud identity,Daily,gs://compliance-evidence-store/identification-auth/ia-3.5.3/,1 year,SHA-256,IAM Team,AUTOMATED,Username + MFA methods enrolled + enrollment date
IA.L2-3.5.3,Multifactor authentication,Cloud Logging,Audit Logs,MFA verification logs,Cloud Logging export,Real-time,gs://compliance-evidence-store/identification-auth/ia-3.5.3/mfa-logs/,1 year,SHA-256,Security Logging,AUTOMATED,TOTP verified or WebAuthn assertion validated
IA.L2-3.5.4,Unique user identification,Cloud IAM,Configuration,User identity inventory (CSV),gcloud identity users list,Weekly,gs://compliance-evidence-store/identification-auth/ia-3.5.4/,1 year,SHA-256,IAM Team,AUTOMATED,Unique email addresses (no duplicates or shared accounts)
IR.L2-3.6.1,Incident handling capability,Wazuh,Security Events,SIEM alert history (JSON),Wazuh API export,Real-time + Weekly summary,gs://compliance-evidence-store/incident-response/ir-3.6.1/wazuh-alerts/,3 years,SHA-256,Security Operations,AUTOMATED,Detection alerts with MITRE ATT&CK mapping
IR.L2-3.6.1,Incident handling capability,n8n,Workflow Logs,Incident response workflow execution (JSON),n8n API export,Real-time,gs://compliance-evidence-store/incident-response/ir-3.6.1/workflows/,3 years,SHA-256,Security Automation,AUTOMATED,Automated containment playbook runs
IR.L2-3.6.2,Track and document incidents,JIRA,Incident Tickets,Incident ticket exports (JSON),JIRA API export,Weekly,gs://compliance-evidence-store/incident-response/ir-3.6.2/,3 years,SHA-256,Security Operations,AUTOMATED,Incident timeline and resolution details
IR.L2-3.6.3,Test incident response,Manual Documentation,Test Reports,Tabletop exercise reports (PDF),Manual documentation,Quarterly,gs://compliance-evidence-store/incident-response/ir-3.6.3/,3 years,SHA-256,Security Operations,MANUAL,Scenarios and lessons learned
RA.L2-3.11.1,Conduct risk assessments,Security Command Center,Security Findings,SCC findings export (JSON),gcloud scc findings list,Daily,gs://compliance-evidence-store/risk-assessment/ra-3.11.1/scc-findings/,1 year,SHA-256,Cloud Security,AUTOMATED,Active vulnerabilities and misconfigurations
RA.L2-3.11.1,Conduct risk assessments,Manual Documentation,Assessment Reports,Annual risk assessment report (PDF),Consultant-led assessment,Annually,gs://compliance-evidence-store/risk-assessment/ra-3.11.1/annual-assessments/,7 years,SHA-256,Compliance Team,MANUAL,Organizational risk register and treatment plans
RA.L2-3.11.2,Scan for vulnerabilities,Trivy,Scan Reports,Container vulnerability scans (JSON),Trivy scanner in CI/CD,Every build + Daily,gs://compliance-evidence-store/risk-assessment/ra-3.11.2/trivy/,1 year,SHA-256,Security Engineering,AUTOMATED,CVE reports and SBOM
RA.L2-3.11.2,Scan for vulnerabilities,Grype,Scan Reports,Vulnerability database matches (JSON),Grype scanner in CI/CD,Every build,gs://compliance-evidence-store/risk-assessment/ra-3.11.2/grype/,1 year,SHA-256,Security Engineering,AUTOMATED,High/critical findings with fix versions
RA.L2-3.11.2,Scan for vulnerabilities,SonarQube,Scan Reports,SAST findings (JSON),SonarQube API export,Every commit,gs://compliance-evidence-store/risk-assessment/ra-3.11.2/sonarqube/,1 year,SHA-256,Application Security,AUTOMATED,Code security issues and quality gates
RA.L2-3.11.2,Scan for vulnerabilities,OWASP ZAP,Scan Reports,DAST findings (HTML + XML),ZAP scanner automation,Weekly (staging) Monthly (prod),gs://compliance-evidence-store/risk-assessment/ra-3.11.2/zap/,1 year,SHA-256,Application Security,AUTOMATED,Runtime vulnerability scan results
RA.L2-3.11.3,Remediate vulnerabilities,JIRA,Remediation Tracking,Vulnerability ticket history (CSV),JIRA API export,Weekly,gs://compliance-evidence-store/risk-assessment/ra-3.11.3/,1 year,SHA-256,Security Engineering,AUTOMATED,Finding → Fix → Verification timeline
RA.L2-3.11.3,Remediate vulnerabilities,Ansible,Remediation Logs,Patch deployment logs,Ansible playbook output to GCS,Real-time (per patch),gs://compliance-evidence-store/risk-assessment/ra-3.11.3/ansible-patches/,1 year,SHA-256,Platform Engineering,AUTOMATED,Patch application success/failure
CA.L2-3.12.1,Security control assessments,Multiple Tools,Assessment Reports,Quarterly assessment summary (PDF),Manual compilation,Quarterly,gs://compliance-evidence-store/security-assessment/ca-3.12.1/,3 years,SHA-256,Compliance Team,SEMI-AUTOMATED,Aggregates automated scan results
CA.L2-3.12.2,Plans of action and milestones,JIRA,POA&M Tracking,POA&M status export (CSV),JIRA API export,Monthly,gs://compliance-evidence-store/security-assessment/ca-3.12.2/,3 years,SHA-256,Compliance Team,AUTOMATED,Gap remediation tracking
CA.L2-3.12.3,Monitor security controls,Prometheus + Grafana,Metrics,Continuous monitoring dashboard (PDF),Grafana PDF export,Monthly,gs://compliance-evidence-store/security-assessment/ca-3.12.3/,1 year,SHA-256,Security Operations,SEMI-AUTOMATED,Control effectiveness metrics
CA.L2-3.12.4,System security plan,Manual Documentation,SSP Document,System Security Plan (PDF),Document management system,Annually + Updates,gs://compliance-evidence-store/security-assessment/ca-3.12.4/,7 years,SHA-256,Compliance Team,MANUAL,Comprehensive system documentation
SC.L2-3.13.1,Boundary protection,VPC + Cloud Armor,Network Config,Firewall rules configuration (JSON),gcloud compute firewall-rules list,Weekly,gs://compliance-evidence-store/system-protection/sc-3.13.1/firewall/,7 years,SHA-256,Network Engineering,AUTOMATED,Ingress/egress rules and priorities
SC.L2-3.13.1,Boundary protection,Cloud Armor,Security Logs,DDoS protection logs,Cloud Logging export,Real-time,gs://compliance-evidence-store/system-protection/sc-3.13.1/cloud-armor/,90 days,SHA-256,Network Security,AUTOMATED,Blocked malicious traffic
SC.L2-3.13.8,Cryptographic mechanisms,Cloud KMS,Configuration,Cryptographic inventory (JSON),gcloud kms keys list + custom script,Weekly,gs://compliance-evidence-store/system-protection/sc-3.13.8/crypto-inventory/,7 years,SHA-256,Cloud Security,AUTOMATED,Algorithms and key strengths
SC.L2-3.13.11,Encrypt CUI at rest,Cloud KMS + GCS,Configuration,Encryption verification report (JSON),Daily scan of CUI resources,Daily,gs://compliance-evidence-store/system-protection/sc-3.13.11/encryption-status/,1 year,SHA-256,Cloud Security,AUTOMATED,All CUI resources encrypted with CMEK
SC.L2-3.13.11,Encrypt CUI at rest,Cloud KMS,Audit Logs,Key usage logs,Cloud Logging (KMS audit),Real-time,gs://compliance-evidence-store/system-protection/sc-3.13.11/kms-usage/,3 years,SHA-256,Security Logging,AUTOMATED,Encrypt/decrypt operations
SC.L2-3.13.16,Encrypt CUI in transit,Caddy/Traefik,Configuration,TLS configuration (YAML),Configuration file export,Weekly,gs://compliance-evidence-store/system-protection/sc-3.13.16/tls-config/,1 year,SHA-256,Platform Engineering,AUTOMATED,TLS 1.3 enforcement and cipher suites
SC.L2-3.13.16,Encrypt CUI in transit,Cloud Logging,Connection Logs,TLS handshake logs,Cloud Logging export,Daily sample,gs://compliance-evidence-store/system-protection/sc-3.13.16/tls-handshakes/,90 days,SHA-256,Security Logging,AUTOMATED,Verify TLS version and cipher negotiation
SI.L2-3.14.1,Identify and correct flaws,Trivy + Grype,Scan Reports,System vulnerability scans (JSON),Scanner output in CI/CD,Daily,gs://compliance-evidence-store/system-integrity/si-3.14.1/vuln-scans/,1 year,SHA-256,Security Engineering,AUTOMATED,OS and package vulnerabilities
SI.L2-3.14.1,Identify and correct flaws,n8n + Ansible,Remediation Logs,Automated patch deployment logs,Workflow and playbook outputs,Real-time,gs://compliance-evidence-store/system-integrity/si-3.14.1/patch-logs/,1 year,SHA-256,Platform Engineering,AUTOMATED,Patch application and verification
SI.L2-3.14.2,Malicious code protection,Wazuh,Security Events,Malware detection logs,Wazuh SIEM export,Real-time,gs://compliance-evidence-store/system-integrity/si-3.14.2/,90 days,SHA-256,Security Operations,AUTOMATED,Malware signature matches
SI.L2-3.14.5,Monitor system security alerts,Prometheus + AlertManager,Alert History,Security alert history (JSON),AlertManager API export,Daily,gs://compliance-evidence-store/system-integrity/si-3.14.5/,1 year,SHA-256,Security Operations,AUTOMATED,Alert firing and resolution timeline
SI.L2-3.14.6,Monitor communications for attacks,Wazuh + Falco,Security Events,Runtime security events (JSON),SIEM and runtime monitoring,Real-time,gs://compliance-evidence-store/system-integrity/si-3.14.6/,90 days,SHA-256,Security Operations,AUTOMATED,Anomalous network connections and processes
